dark+clean_gas_11,dark+clean_gas_5,dark+clean_gas_7,light+clean_gas_11,light+clean_gas_14,light+clean_gas_5,light+clean_gas_7,light+used_gas_11,light+used_gas_5,light+used_gas_7,ocean_0
Aquibacter,0.00048950791317759,0.00190888601828972,0,0,0,0,0,0,0,0,0.00315604012605292
Arcobacter,0,0,0,0,0,0,0,0,0,0,0.00257950093884421
Arcobacteraceae,0,0,0,0,0,0,0,0,0,0,0.000398059983877004
Arcobacteraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.0081173236986627
Arenibacter,0.0109542005997741,0.00113895867305958,0.00318690990304631,0,0.0207571240774334,0,0.0012916132371671,0,0,0,0.00116318007581346
Arenicellaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000417499374188149
Ascidiaceihabitans,0.00587902544255879,0.000476049182179122,0.00585889386662284,0,0,0,0,0,0,0,0.00224656958075737
Aurantivirga,0,0.00178726297798693,0,0,0,0,0,0,0,0,0.000768529927557084
Aureimarina,0,0,0,0,0,0,0,0,0,0,0.000198960545930011
Aureispira,0,0,0.00489531990858331,0.47397718269777,0,0.0212254782819926,0.391069286254349,0.296854344727585,0.0176424623979869,0.476397582801273,0.00680868479502211
Azoarcus,0.000553235551648703,0.000480104958901273,0,0,0,0,0,0,0,0,0
Bacteroidetes_BD2-2,0,0,0,0,0,0,0,0,0,0,0.00432019190205097
Bacteroidetes_vadinHA17,0,0,0,0,0,0,0,0,0,0,0.00116862669862694
Bacteroidetes_VC2.1_Bac22,0,0,0,0,0,0,0,0,0,0,0.00390786640481717
Balneola,0,0,0,0,0,0,0,0,0,0,0.00094991765653769
Bizionia,0.00475839439746152,0.000582882780943251,0.00474851812484438,0,0.00551562968675204,0,0,0.00105166996259349,0,0,0.000507916848870725
Blastopirellula,0,0,0,0,0,0,0.000145228206042644,0.000323225206158279,0,0,0
Caldithrix,0,0,0,0,0,0,0,0,0,0,0.000244577692258398
Candidatus_Actinomarina,0,0,0,0,0,0,0,0,0,0,0.00222070896340139
Candidatus_Aquiluna,0,0.0077006034857911,0.00846564463381269,0.000767382055820502,0,0.0240663155069023,0.00228550624790386,0.000910577958771846,0.0262480717838932,0.00950920175864001,0.00987819517559025
Candidatus_Megaira,0.00197861246244886,0.000570432385036641,0,0,0,0,0,0,0,0,0
Celeribacter,0.000466969856405346,0.00148787214149612,0,0,0,0,0,0,0,0,0.000620137111844248
Cellulophaga,0.0174499343510625,0.00366182642836611,0.0107979980083134,0.000469717571370532,0,0.000780614268563083,0.00113168629499975,0.00146655560344105,0.000417386956369032,0.00137007230651691,0.00107548213080951
Chitinophagales_uncultured_uncultured,0.00175159756075321,0.000213107624945922,0.00354083541419665,0,0,0.00425550066280759,0.00376281118029028,0,0.00491870639145963,0.00177066088359203,0.000921358753660585
Christensenellaceae_R-7_group,0,0,0,0,0,0,0,0,0,0,0.000211659099343364
Christensenellaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00033275323942482
Citreitalea,0,0,0,0,0,0,0.000957430034873673,0,0,0.000745353401980761,0
CK-2C2-2,0,0,0,0,0,0,0,0,0,0,0.000276831613599047
CL500-29_marine_group,0,0,0,0,0,0,0,0,0,0,0.000382119933470709
Clade_Ia,0,0,0,0,0,0,0,0,0,0,0.00680217501920952
Clade_II,0,0.000550528030181027,0,0,0,0,0,0,0,0,0.00415174884491008
Clade_III,0,0,0,0,0,0,0,0,0,0,0.00287356829166269
Clostridium_sensu_stricto_1,0,0,0,0,0,0,0,0,0,0,0.000317844909136742
Cognatiyoonia,0,0,0,0,0,0,0,0,0,0,0.000301751433406927
Cohaesibacter,0.000335592006162155,0,0,0.00300961296042896,0,0,0.000674933332156923,0.00232376841475833,0,0,0
Congregibacter,0,0,0,0.00118602575053176,0,0,0.000232221340955678,0,0,0,0
Crocinitomicaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00355514101540654
Cryomorphaceae_uncultured,0.00115862245671685,0.042949966122296,0.00297430612910267,0.0010551266961456,0,0.00126376267047741,0.000618164038054764,0.00164590146136538,0,0.0019360340475217,0.0532135219874396
Cyanobacteriaceae_uncultured,0,0,0,0,0,0.000726161253771467,0,0,0.000890850726291644,0,0
Cyanobacterium_PCC-7202,0,0,0,0.00132382717665109,0,0,0,0,0,0,0
Cyanobium_PCC-6307,0.000144618882064645,0,0,0.0652519415349197,0.0421242479872595,0.00429454919446089,0.00493600489090258,0.011159161192533,0.0040058678895263,0.00262749610283003,0.0209055741844593
Cyclobacteriaceae,0,0,0,0.000511576082204302,0,0,0.000551343501753048,0.0016446973415493,0,0.0103252179188111,0
Cyclobacterium,0.00186380680599604,0,0,0.00905865840646483,0.0107784572094208,0,0.000833852641050554,0.00645437532982337,0,0,8.36105846776496e-05
Defluviitaleaceae_UCG-011,0,0,0,0,0,0,0,0,0,0,0.0017933679797147
Denitromonas,0.0015089647528692,0.00196351422704165,0,0,0,0,0.000983089278369368,0.00433924309791665,0,0,0
Desulfatiglans,0,0,0,0,0,0,0,0,0,0,0.000736465452049911
Desulfobacter,0,0,0,0,0,0,0,0,0,0,0.00759019540220317
Desulfocapsaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00138644175927075
Desulfoconvexum,0,0,0,0,0,0,0,0,0,0,0.00219492707985422
Desulforhopalus,0,0,0,0,0,0,0,0,0,0,0.00671268580605753
Desulfosarcinaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00593079843314602
Devosia,0.000245513328149077,0,0,0.000447629071928767,0,0,0,0.00114582086969389,0,0,0
Diplosphaera,0.00023960452853889,0,0,0,0,0,0,0,0,0,0
Donghicola,0.000109290214480759,0.000388111066618561,0,0,0,0,0,0,0,0,0
Draconibacterium,0,0,0,0,0,0,0,0,0,0,0.00368048335688519
Dysgonomonadaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000911955707922404
EC3,0,0.000231727637570833,0,0,0,0.000817788825467068,0,0,0,0,0
Endozoicomonas,0,0,0,0.000670940142106638,0,0,0.000480974597771882,0.0003716616288997,0,0.000387716102695596,0
Erythrobacter,0.000359500497598875,0.00235592800693729,0,0,0,0.00335086939024481,0.000662405799789877,0,0.00158842309481622,0,0
Eudoraea,0,0,0,0,0,0,0,0,0,0,0.00101380871852945
Fermentibacteraceae,0,0,0,0,0,0,0,0,0,0,0.00121210315589758
Flavicella,0,0,0,0,0,0,0,0,0,0,0.000886972030500357
Flavobacteriaceae,0.00433373114618678,0.00221987737989272,0.00555974611458376,0,0,0,0,0,0,0,0.00146556812480553
Flavobacteriaceae_uncultured,0.00182330752425639,0.00613430615431199,0.00127453052817179,0,0.019896792108614,0,0.000212198206351265,0,0,0,0.0121095595920095
Flavobacterium,0.0139400499177027,0.00389064593461395,0.0273438404082793,0.00300997805989226,0.030183461259409,0.00133816102819819,0.0744542774805365,0.00375645985045017,0.000956544681492424,0.0543161237924233,0.0288218644034417
Flexithrix,0,0,0,0,0,0.00360422951951074,0.00324088916357528,0,0.000557611531296205,0,0
Fluviicola,0,0,0,0,0,0,0,0,0,0,0.00196784341436978
Formosa,0,0,0,0,0,0,0,0,0,0,0.00439727524625768
Francisella,0.00318446853753352,0,0,0,0,0,0,0,0,0,0
Gaetbulibacter,0,0,0,0,0,0,0,0,0,0,0.00086331484441857
Gammaproteobacteria_Incertae_Sedis_Unknown_Family_uncultured,0,0,0,0,0,0.00405197571996003,0.00207203264771243,0.000469975720668406,0.00444166150226228,0.00101949104858544,0.000122870480486787
Gammaproteobacteria_uncultured_uncultured_uncultured,0.00114304172877836,0.000428192746851178,0.00106716655453018,0,0,0,0,0,0,0,0
Geitlerinema_PCC-7105,0,0.000657081843586558,0,0.0156534819143412,0.0139976764290445,0.43692614012275,0.0466434450709004,0.0179048375752418,0.34759107168891,0.0300407531452865,0.00285689429252427
Geminocystis_PCC-6308,0,0,0,0.00204259588206824,0,0,0,0.00104665209060266,0,0,0
Gilvibacter,0,0,0,0,0,0,0,0,0,0,0.000286306267781056
Gimesia,0,0,0,0.00470306728303112,0,0,0,0.0033184462467507,0,0,0
Glaciecola,0,0,0,0,0,0,0,0,0.000665241771056389,0,0.00610172307760306
Granulosicoccus,0,0,0,0,0,0,0,0,0,0,0.000605196073109234
Halarcobacter,0,0,0,0,0,0,0,0,0,0,0.00205246839971356
Halioglobus,0,0.000426538694520956,0,0,0,0,0,0,0,0,0.000396230199977071
hgcI_clade,0,0,0,0,0,0,0,0,0,0,0.00105732021412239
HIMB11,0.000343504354484208,0.00773902182431414,0,0,0,0,0,0,0,0,0.00210613391816491
HOC36,0,0,0,0,0,0,0,0,0,0,0.000296392901298967
Hoeflea,0.00401614906410992,0.00182021089795307,0.00282581768962474,0.0192128649855392,0.0642350607374091,0.00152396387563666,0.0042782161954657,0.0207822045467299,0.00144871088254399,0.00210878782824105,0.0006799129085999
Holosporaceae_uncultured,0,0,0,0.00192072849676455,0,0,0.000187968942896138,0,0,0,0
Hungateiclostridiaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00190159234922608
Hydrogenophaga,0.00354198721910826,0.00585226473597521,0.00475848422884154,0.00461181225886764,0,0.00811489421139979,0.00460271005446794,0.0066731144289241,0.00686488417631078,0.00549047505619285,0.00172184136892831
Ichthyenterobacterium,0.000586511276828327,0,0,0,0,0,0,0,0,0,0.00617112719181851
IheB3-7,0,0,0,0,0,0,0,0,0,0,0.000436934873641408
Ilumatobacter,0.000355147483697729,0,0,0.00143091428697835,0,0,0,0.00198540530667562,0,0.000514084789289003,0.00113776546809494
Ilumatobacteraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000275408680384854
JS1,0,0,0,0,0,0,0,0,0,0,0.000342377333586556
Kapabacteriales,0.000800917814864282,0,0,0,0,0,0,0,0,0,0.00036631903439771
L21-RPul-D3,0,0,0,0,0,0,0,0,0,0,0.00027617889277154
Labilibacter,0,0,0,0,0,0,0,0,0,0,0.000943089919488979
Labrenzia,0.00276602239882109,0.000801887640844741,0,0.0030800260882551,0,0,0.00178251844410318,0.00409075959563058,0,0.00179929245185263,0.000155276801147729
Lachnospiraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00516654299368284
Lacinutrix,0,0,0,0,0,0,0,0,0,0,0.000795510883356149
Legionellaceae_uncultured,0.00443993592051974,0.000267378044929613,0,0,0,0.00270121775597129,0.0028538941468551,0,0.000935628990429961,0.00465464988331563,0
Leisingera,0.000120107989126368,0,0,0,0,0,0.000322223209572579,0,0,0,0
Lentibacter,0.0038737191235057,0.0265111252945062,0.0121699338448703,0.00797703861616166,0.0494031597221422,0.00459857515733391,0.00456437648998758,0.00879851921009127,0.00554751324889173,0.00403472015031005,0.272279800015043
Lentimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0.00215930564546045
Lentimicrobium,0,0,0,0,0,0,0,0,0,0,0.000351541962216011
Leptolyngbya_LEGE-06070,0,0,0,0.00226351541446133,0,0.0279353024074236,0.00492869837897371,0.00136244409000807,0.0285922642550803,0.00407992907913266,0.000221649537053909
Leptolyngbya_PCC-6306,0,0,0,0,0,0.000557543055095596,0,0,0.000749225582011019,0,0
Leptotrichiaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000439748538028248
Leucobacter,0.00237172116019811,0.00717323161533064,0.0013520587687729,0.000383682061653229,0,0,0.000463017894356746,0.00043568627425575,0,0.000371840635211337,0
Leucothrix,0.0241917995517596,0.00644805222092349,0.0121095907071803,0,0,0.000817787096383698,0,0,0.000613222517603299,0,0.00267280611115687
Lewinella,0.0151012387692403,0.0186111295499955,0.0357086608254551,0.00848285854588711,0,0.12405631318961,0.0234965590005393,0.0126757928472837,0.0990596494783864,0.0168372048259965,0.00207552896856536
Lishizhenia,0,0,0,0,0,0,0,0,0,0,0.00161744966028859
Litoreibacter,0.000788526255751324,0.00198481598880151,0,0,0,0,0,0,0,0,0.000442198966981968
Litorimicrobium,0.00867200546615286,0.0070229756954255,0.00514134842987167,0,0,0,0,0,0,0,0.000457029404393694
livecontrolB21,0,0,0,0,0,0,0,0,0,0,0.00137752426116141
LK-44f,0,0,0,0,0,0,0,0,0,0,0.000294538453213911
Lutibacter,0.000372303480969764,0,0,0,0,0,0,0,0,0,0.00475519440519808
Lutimaribacter,0.0120510678530828,0.0315199234561649,0.0279065425806499,0.021609335498214,0,0.0124367533987671,0.0190462086605135,0.0191450957831639,0.00693187345140577,0.00930812843619155,0.00128935895721379
Lutimonas,0,0,0,0,0,0,0,0,0,0,0.00196450922308354
Maribacter,0.00126515928945565,0.00102521252215014,0.00120388613142385,0.0010551256701444,0.0126426336236383,0.000706270052525854,0.00456292735647722,0.00167462861493383,0,0.00157135055868713,0.00399402685656392
Marinibacterium,0.000224347016343264,0.00111933731091804,0,0,0,0,0,0,0,0,0
Marinicella,0.00529696437095473,0.00087158038575269,0.00333797289157264,0,0,0,0.000312987351285483,0,0,0,0.000205622406018831
Marinifilaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00410707401550137
Marinifilum,0,0,0,0,0,0,0,0,0,0,0.00481555383552909
Mariniflexile,0.00304297976333677,0.000659155616663631,0.00259305877581587,0,0,0,0,0,0,0,0
Marinilabiliaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00331432415675474
Marinimicrobia_(SAR406_clade),0,0,0,0,0,0,0,0,0,0,0.000150235772344315
Marinobacter,0.000427363690657605,0.00112462076939324,0,0,0,0,0,0,0,0,0
Marinobacterium,0.000245733822032174,0.00359042231296395,0,0,0,0,0,0,0,0,0.0130200518887808
Marinomonas,0,0,0,0,0,0,0,0,0,0,0.00074207591337185
Marinoscillum,0,0,0,0,0,0,0.000490756593224632,0,0,0.000542643769777177,0
Marinovum,0.0127480544170851,0.0115157462164114,0.00795250737298894,0.00377692126539279,0,0.00127821675342231,0.0031034346050552,0.00424977841356258,0.000868715382769094,0.00446488912850996,0.000510245516665557
Marivita,0.455194677705591,0.0308147473196353,0.0796431583158042,0.214658818377612,0.299145250936383,0.0976943417402979,0.130383294964985,0.401386193366417,0.108950741057997,0.143097786626407,0.0146633906985263
Marivivens,0.00271265143330044,0.102171039763429,0.0106716465209378,0,0,0,0.000497615118675399,0,0.000552932609309874,0,0.0189411301463423
MAT-CR-H4-C10,0,0,0,0,0,0,0,0,0,0,0.000316633001255749
MBAE14,0.00017487004529412,0,0,0,0,0,0,0,0,0,0
Membranicola,0.00156981516477661,0,0,0.00196549801823926,0,0,0.00017637999905518,0.00340079959815237,0,0.000545988971949694,0
Meridianimaribacter,0.0367082515161619,0.00292456797303395,0.0191211288298378,0,0,0.00136915787506186,0.000552784890667457,0,0,0,0.000748794105496805
Mesoflavibacter,0.00366608988456267,0,0.00791867468311915,0,0,0,0,0,0,0,0
Methylobacter,0.0119608011851266,0.0438901765826877,0.040019562626738,0,0,0,0,0,0,0,0.000546867414368912
Methylomicrobium,0.0253570848212232,0.198609667859744,0.250173473540471,0.00123334584385724,0,0,0.000328266801962646,0,0,0,0.00410777376232626
Methylomonadaceae_uncultured,0.000592395343120344,0.00822507539016186,0.013203331644828,0,0,0,0,0,0,0,0
Methylomonas,0.00263441882035311,0.0150801648401053,0.0150663880369896,0.00068569364603396,0,0,0.00171597683502656,0,0,0,0
Methylophaga,0.108238387433709,0.163123646358322,0.129891161371068,0.00843945698910325,0.0822542183298844,0.000706269248974688,0.00502987897359406,0.00356257872293238,0.000808366416100147,0.00125579179089714,0.00337949800972128
Methyloprofundus,0,0.00100849973118469,0.00220459736896036,0,0,0,0,0,0,0,0
Methylosarcina,7.48738836811049e-05,0.00535559829989596,0.00547398210418574,0,0,0,0,0,0,0,0
Micavibrionaceae_uncultured,0.00307516713422434,0,0,0,0.0184972411570978,0,0,0,0,0,0
Microbacteriaceae,0,0,0,0,0,0.00122821690444753,0,0,0.0015616068286612,0,0.000201223107832348
Microbacteriaceae_uncultured,0,0.000585145216580327,0.00134461318401702,0,0,0.00445457236062926,0.000595282488918915,0,0.00307878736016649,0.00125541625978994,0.00170655850069525
Milano-WF1B-03,9.37204006491374e-05,0.00167660809376136,0,0,0,0,0,0,0,0,0
MSBL3,0,0,0,0,0,0,0,0,0,0,0.00107896438664615
MSBL8,0,0,0,0,0,0,0,0,0,0,0.00202638143021929
Muricauda,0.00161902066382343,0,0,0,0.0160410837512411,0,0.00144663176983004,0,0,0.000594782029171128,0
Nannocystaceae_uncultured,0.00111061612992528,0.0006582078257466,0.00163206317606924,0,0,0,0,0,0,0,0
Nannocystis,0.000774845959747623,0,0,0,0,0,0,0,0,0,0
Nautella,0.00287502474035427,0,0,0,0,0,0.000216293398166481,0.0013259973450182,0,0.000817167830516507,0
Neptunomonas,0.00164450085823872,0.000659532783911795,0.00133842051603454,0.000544276310565882,0,0,0.000851315461081797,0.0106348510978032,0.00170008785454531,0.00432176794893663,0.00013539417513586
Nioella,0.00354311939683133,0.00378958122951879,0.00382076574230164,0.00575045452297364,0.0241324133881339,0.000775010961416044,0.00326338222275542,0.00460618240239673,0.00171318793945575,0.00162804346051967,0.000456368138913824
Nostocaceae_uncultured,0,0,0,0,0,0.00167472140048836,0.000633124815025401,0,0.00131713650296546,0,0
NRL2,0,0,0,0,0,0.0011151632408303,0.000472800550535424,0,0.000808238488212594,0.00144458683017624,0
NS11-12_marine_group,0,0,0,0,0,0,0,0,0.0113303676157825,0,0.00370371396810185
NS2b_marine_group,0,0,0,0.000372737473937753,0.0210665179970457,0,0.00225416921743806,0.000396781567191227,0.000606759777572542,0.00162043487810154,0
NS3a_marine_group,0.00268515356602268,0.0638529510584171,0.0136803212773193,0.00243041770243743,0,0.00301102975271569,0.0015378884257907,0.00496477986365977,0.002813993434419,0.00579518808471837,0.0991237061120747
NS4_marine_group,0,0,0,0,0,0,0,0,0,0,0.0016786007111376
NS5_marine_group,0,0,0,0,0,0,0,0,0,0,0.0119503702935219
NS7_marine_group,0,0,0,0,0,0,0,0,0,0,0.000436083258326081
NS9_marine_group,0.00027142085381278,0.00269634102380531,0,0,0,0,0,0,0.000613146439334537,0,0.00602522362509077
Oceanobacterium,0.00134158812732323,0.000602107026795622,0,0,0,0,0,0,0,0,0
Odoribacter,0,0,0,0,0,0,0,0,0,0,0.000233890057574936
Oleiphilus,0,0,0,0,0,0,0,0,0,0,0.000289579296932352
Olleya,0.00125657368677356,0.000402445938075393,0,0,0,0,0.0020235899170639,0,0,0.00205166645475025,0.00137583757512615
OM190,0.000132354827820733,0,0,0,0,0,0.000558689388459689,0,0,0,0
OM27_clade,0.00050077750061224,0,0,0,0,0,0,0,0,0,0
OM43_clade,0,0,0,0,0,0,0,0,0,0,0.00241850799173804
OM60(NOR5)_clade,0,0,0,0,0,0,0,0,0,0,0.000572075623456273
Oricola,0.000335726504308813,0,0,0.000544281789770391,0,0,0,0.00124495764729555,0,0,0
Oscillatoriaceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.00100568039213517
Owenweeksia,0.000157100200283639,0,0.00280370083224696,0,0,0,0,0,0,0,0
Paludibacteraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000210385735571557
Paracoccus,0.000305927625828807,0.000516935501132819,0,0,0,0,0,0,0,0.000485523372853408,0
PB19,0,0,0,0,0,0,0,0,0,0,0.000539728296049833
PeM15,0,0,0,0,0,0,0,0,0,0,0.00108424630556247
Peredibacter,0,0,0,0,0,0,0,0,0.00238780327069195,0,0.000182489325304945
Phaeobacter,0.0118428487917254,0.00270594974582997,0,0,0,0,0.000476459129014364,0,0,0,0.000200953189874855
Phaeodactylibacter,0,0,0,0,0.159819315380593,0,0.00245890238366587,0,0,0,0
pItb-vmat-59,0,0.000781517657835586,0,0,0,0,0,0,0,0,0
Planktomarina,0.00106573897736373,0.0010122794396412,0.00380300496763499,0.00215048660405052,0,0.00167508291907262,0.000870874634192348,0.00351100951097439,0.00105849248385438,0.000970687475342873,0.0524153456677805
Planktotalea,0,0.000356504950931816,0,0,0,0,0,0,0,0,0.00223331075589138
Planktothricoides_SR001,0,0,0,0,0,0,0,0,0,0,0.000424770035923369
Polaribacter,0.00126364178946675,0.0070887616763173,0.00149149824895267,0,0,0,0.00221950585679998,0.00171988095413502,0,0.00595745938561615,0.0102759224137347
Porphyrobacter,0,0,0,0.00236935122883756,0,0,0.000189913908935589,0,0,0.00125668156876387,0
Pricia,0,0,0,0,0,0,0,0,0,0,0.000191287154884224
Primorskyibacter,0.00190374661404757,0.000583440989641645,0,0,0,0,0,0,0,0,0
Prochlorothrix_PCC-9006,0,0,0,0,0,0.000867163186522988,0.000440257831590957,0,0.00105983677205376,0,0
Prolixibacteraceae,0,0,0,0,0,0,0,0,0,0,0.00167063668786352
Prolixibacteraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000288699221037872
PS1_clade,0,0.000408671349596951,0,0,0,0,0,0,0,0,0.00134044851088934
Pseudarcobacter,0,0,0,0,0.00973595164653994,0,0,0,0,0,0.0228653923695057
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,0.000453482841587013
Pseudobacteriovorax,0,0,0,0,0,0,0,0.000969525032726663,0,0.00369047050444486,0
Pseudodonghicola,0.00074372275881647,0.00162257894326142,0,0,0,0,0,0,0,0,0
Pseudohoeflea,0.000151197906628092,0,0,0.00107528806026251,0,0,0,0.000778324855394047,0,0,0
Pseudohongiella,0,0,0,0,0,0,0,0,0,0,0.00343700664125005
Pseudomonas,0.000202012393740353,0.00197189162434287,0,0,0,0,0.000338012426680285,0,0.00114374931759663,0,0.000180307720817014
Pseudophaeobacter,0.000230846521235017,0,0,0,0,0,0,0,0,0.000699809601211846,0
Pseudorhodobacter,0.00219814577341875,0.00318928446969441,0.00369312845560047,0.00816428477972222,0.0214475598926835,0.0073002742989725,0.0235046912237169,0.00686088155232465,0.00829643775647885,0.0345157830618264,0.000951893382019207
Pseudoruegeria,0,0,0,0,0,0,0,0,0,0,0.000264846736081554
Psychroserpens,0.0184228831394745,0.00294104883240906,0.0104205185429784,0.00139893261717217,0.00594008359398131,0.00660900150293317,0.00553329049346112,0.00209210032984108,0.00407559433330624,0.00593788377399088,0.00139208772223075
R76-B128,0,0,0,0,0,0,0,0,0,0,0.00145153728859538
Rheinheimera,0.000113526160716659,0,0,0.001246966524844,0.0113586102498669,0,0.000547381934191422,0,0,0,0.000211412137293829
Rhizobiaceae_uncultured,0.000378559641126248,0.000302194013320523,0,0,0,0,0.000457736382159732,0,0,0,0.000942889744877363
Rhodobacteraceae,0.0113730258932522,0.00554048391995125,0,0.00101428644576697,0.00651268979056483,0,0.00229977053192771,0.0041107715455218,0.000756910639554334,0.00447679895519695,0.000564848085051344
Rhodobacteraceae_uncultured,0.0140267056457432,0.00718476696227934,0,0.00150606739475738,0,0,0.00170939338307347,0.000352481790492328,0,0.000314162182502574,0.00630178836407315
Rhodopirellula,0.000170093667039165,0,0,0.00822346698220676,0,0,0.000268649232365274,0.00249571823261908,0,0.000542699857091374,0
Rickettsiaceae_uncultured,0,0.000387401651669022,0.0045636707632358,0,0,0.00156166870365572,0,0,0.000473794611708642,0,0
Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,0,0,0,0,0.000824751461193995
Roseibacterium,0,0,0,0,0,0,0,0,0,0,0.00203245951186896
Roseimarinus,0,0,0,0,0,0,0,0,0,0,0.00267389643538833
Roseivirga,0,0,0,0,0,0,0.000187251862363488,0.00149895682027374,0,0.00170686946939012,0
Roseobacter,0.00178576493438696,0.00156469253205503,0.00336452886313647,0,0,0,0.000649774156004206,0,0,0,0.000349832498990238
Roseobacter_clade_CHAB-I-5_lineage,0.00164349414186443,0.00240294115002276,0.00128476567640077,0,0,0,0.000201523391037321,0.000940223258393761,0,0.000537037138392885,0.000190566980236216
Roseobacter_clade_NAC11-7_lineage,0,0,0,0,0,0,0,0,0,0,0.00024264585054277
Roseovarius,0.0001789131293105,0,0,0.000479606445981323,0,0,0.000198427489627029,0,0,0,0
RS62_marine_group,0,0,0,0,0,0,0,0,0,0,0.0100585378529561
Rubinisphaeraceae_uncultured,0,0,0,0,0,0,0,0,0,0,0.000163953464314445
Ruegeria,0.00420397959441393,0.000728161016611219,0,0,0,0,0.000432816932812689,0,0,0,0
S1-3-65,0,0,0,0,0,0,0,0,0.000864042782589238,0.000371475767587604,0
Saccharicrinis,0,0,0,0,0,0,0,0,0,0,0.0010044964813134
Sagittula,0.00356031614818551,0.00298679209930443,0.00538598454613077,0.00108891116561377,0,0,0.000808269753300083,0,0,0,0.000178603146399569
Salinirepens,0,0,0,0,0,0,0,0,0,0,0.00111950992749829
Saprospira,0.000850762039723947,0.0118952776822852,0.123739367551884,0,0,0.00507558195671317,0.000429926248401771,0,0,0,0.000477770986363078
Saprospiraceae_uncultured,0.00223170133784689,0.00684531950011256,0.0033479180933805,0.00769677917410254,0,0.103267587282112,0.0410263423927616,0.0135142998218315,0.206747399974178,0.0109760141743272,0.00238921426833342
SAR116_clade,0,0,0,0,0,0,0,0,0,0,0.00436053396756169
SAR324_clade(Marine_group_B),0,0,0,0,0,0,0,0,0,0,0.0002467994430752
SAR86_clade,0,0,0,0,0,0,0,0,0,0,0.0021277476425618
Schizothrix_LEGE_07164,0,0,0,0,0,0.000760640939920915,0.000976885173345651,0,0.00116804270889094,0.000577624095058453,0
Schleiferia,0.000643406788839125,0,0,0,0,0,0,0,0,0,0
